Time (s),Channel 1 (V),Channel 2 (V),Id
1.88609375,-0.227495572,-0.001009947,-1.00995E-06
1.88671875,-0.226494551,-0.001009947,-1.00995E-06
1.88734375,-0.225159857,-0.001009947,-1.00995E-06
1.88796875,-0.223825162,-0.001009947,-1.00995E-06
1.88859375,-0.222824142,-0.001009947,-1.00995E-06
1.88921875,-0.221823121,-0.001009947,-1.00995E-06
1.88984375,-0.220154753,-0.001009947,-1.00995E-06
1.89046875,-0.219153732,-0.001009947,-1.00995E-06
1.89109375,-0.217819038,-0.001009947,-1.00995E-06
1.89171875,-0.216484344,-0.001009947,-1.00995E-06
1.89234375,-0.215149649,-0.001009947,-1.00995E-06
1.89296875,-0.214148629,-0.001009947,-1.00995E-06
1.89359375,-0.212813934,-0.001009947,-1.00995E-06
1.89421875,-0.21147924,-0.001009947,-1.00995E-06
1.89484375,-0.210144546,-0.001009947,-1.00995E-06
1.89546875,-0.208809852,-0.001009947,-1.00995E-06
1.89609375,-0.207808831,-0.001009947,-1.00995E-06
1.89671875,-0.206140463,-0.001009947,-1.00995E-06
1.89734375,-0.205139442,-0.001009947,-1.00995E-06
1.89796875,-0.203804748,-0.001009947,-1.00995E-06
1.89859375,-0.202470054,-0.001009947,-1.00995E-06
1.89921875,-0.201469033,-0.001009947,-1.00995E-06
1.89984375,-0.200134339,-0.001009947,-1.00995E-06
1.90046875,-0.198799644,-0.001009947,-1.00995E-06
1.90109375,-0.19746495,-0.001009947,-1.00995E-06
1.90171875,-0.196797603,-0.001009947,-1.00995E-06
1.90234375,-0.195462909,-0.001009947,-1.00995E-06
1.90296875,-0.194128214,-0.001009947,-1.00995E-06
1.90359375,-0.193127194,-0.001009947,-1.00995E-06
1.90421875,-0.191792499,-0.001009947,-1.00995E-06
1.90484375,-0.190457805,-0.001009947,-1.00995E-06
1.90546875,-0.189456784,-0.001009947,-1.00995E-06
1.90609375,-0.187788417,-0.001009947,-1.00995E-06
1.90671875,-0.186787396,-0.001009947,-1.00995E-06
1.90734375,-0.185452702,-0.001009947,-1.00995E-06
1.90796875,-0.184118007,-0.001009947,-1.00995E-06
1.90859375,-0.183116987,-0.001009947,-1.00995E-06
1.90921875,-0.181782292,-0.001009947,-1.00995E-06
1.90984375,-0.180447598,-0.001009947,-1.00995E-06
1.91046875,-0.179112904,-0.001009947,-1.00995E-06
1.91109375,-0.177778209,-0.001009947,-1.00995E-06
1.91171875,-0.176777189,-0.001009947,-1.00995E-06
1.91234375,-0.175442494,-0.001009947,-1.00995E-06
1.91296875,-0.1741078,-0.001009947,-1.00995E-06
1.91359375,-0.173106779,-0.001346084,-1.34608E-06
1.91421875,-0.171772085,-0.001346084,-1.34608E-06
1.91484375,-0.170437391,-0.001346084,-1.34608E-06
1.91546875,-0.16943637,-0.001009947,-1.00995E-06
1.91609375,-0.168101676,-0.001009947,-1.00995E-06
1.91671875,-0.166766982,-0.001346084,-1.34608E-06
1.91734375,-0.165432287,-0.001346084,-1.34608E-06
1.91796875,-0.164097593,-0.001009947,-1.00995E-06
1.91859375,-0.163096572,-0.001009947,-1.00995E-06
1.91921875,-0.161428204,-0.001009947,-1.00995E-06
1.91984375,-0.160427184,-0.001009947,-1.00995E-06
1.92046875,-0.159092489,-0.001009947,-1.00995E-06
1.92109375,-0.157757795,-0.001009947,-1.00995E-06
1.92171875,-0.156756774,-0.001009947,-1.00995E-06
1.92234375,-0.15542208,-0.001009947,-1.00995E-06
1.92296875,-0.154087386,-0.001009947,-1.00995E-06
1.92359375,-0.153086365,-0.001009947,-1.00995E-06
1.92421875,-0.151751671,-0.001009947,-1.00995E-06
1.92484375,-0.150416977,-0.001009947,-1.00995E-06
1.92546875,-0.149415956,-0.001009947,-1.00995E-06
1.92609375,-0.147747588,-0.001009947,-1.00995E-06
1.92671875,-0.146746567,-0.001009947,-1.00995E-06
1.92734375,-0.145411873,-0.001009947,-1.00995E-06
1.92796875,-0.144077179,-0.001009947,-1.00995E-06
1.92859375,-0.143076158,-0.001009947,-1.00995E-06
1.92921875,-0.14140779,-0.001009947,-1.00995E-06
1.92984375,-0.140406769,-0.001009947,-1.00995E-06
1.93046875,-0.138738402,-0.001009947,-1.00995E-06
1.93109375,-0.137737381,-0.001009947,-1.00995E-06
1.93171875,-0.13673636,-0.001009947,-1.00995E-06
